username,user_id,full_name,profile_pic_url,is_verified,is_active_on_text_post_app,has_onboarded_to_text_post_app
orlandomagic,195178788,Orlando Magic,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/466989938_1955739918171547_6435791137837417708_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=107&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=1MUmfD-wuxcQ7kNvwEhLr20&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfLMeYuMePlqw0XEK04PPAsyV5Zvh_jKuEb9y83PYy5txg&oe=683F975E&_nc_sid=10d13b,True,True,True
orlandomagichq,645149980,Orlando Magic HQ,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/358000560_809235194255041_6667388643623083036_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=101&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=JdPhV0mtdXIQ7kNvwELl_kr&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfK2qZVMEHoXMOSetqzL90HQGKPhBS-NU6hXZU2rW21Oxw&oe=683F93F1&_nc_sid=10d13b,False,True,True
_orlandomagic,235341894,Arlandas,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/412551861_1043425290243455_1375247509655438228_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=111&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=945WaqrSuO4Q7kNvwHPjd8X&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIqZCyd2dvCgmdUEu0roIjsue_LEZgEk3M6JgeNUoF_EA&oe=683FB10F&_nc_sid=10d13b,False,True,True
orlando_magic,37174648,Luigi Orlando,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/467888941_1100390961486734_6216067215409674252_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=102&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=c49q4Mmy9OYQ7kNvwHkZMWT&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfJryx58mduQIKz5l0-Df_JrFsX1CHGP-Cnrjg2NtuTgAA&oe=683F94F2&_nc_sid=10d13b,False,True,True
orlandomagic_,12734962,Orlando,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/482853580_1845856979551425_5997265706795954111_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=gUIcB5TRR78Q7kNvwHGZ0RN&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfL2FTIZL6ItRb35bXYib3tzTS3ZnZ0eiu-JZRPEHxpbZw&oe=683F9412&_nc_sid=10d13b,False,True,True
silva14037,61231110287,Orlando Magic,https://scontent-lga3-3.cdninstagram.com/v/t51.2885-19/466455107_1375717686734252_1545567779074022079_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-3.cdninstagram.com&_nc_cat=108&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=T5D9Z5stwXsQ7kNvwHcGZkw&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKp8GuyLioWhMSHNRu0YvfWrbOHWvOpEU_A6Kui0FwMJg&oe=683FB40F&_nc_sid=10d13b,False,True,True
orlandomagicriders,53462045066,Silvina  & team,https://scontent-lga3-1.cdninstagram.com/v/t51.2885-19/358800418_183979357768083_2925825064800090263_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-1.cdninstagram.com&_nc_cat=103&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=vZQ_cGABj20Q7kNvwHtjdgS&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIUrGlzwW6jPNnRG-4Zscya-0IoqqzGep3tQdinu7Ipeg&oe=683FA5F0&_nc_sid=10d13b,False,True,True
hector_aravenas,1396746964,Orlando magic,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/481744993_9385069741558065_2203859519563252973_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=Ix4tbzl_caUQ7kNvwE_ROST&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIM09nfnlM99bKWyCU-m4zrr0Jb__omdcIXwlXM0p_mwA&oe=683FA0FA&_nc_sid=10d13b,False,True,True
orlandomagic__milkyway,56730327729,Orlando Magic Milky Way,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/458385299_1541914169867085_2973586715422871590_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=109&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=b-wuYCYqUJoQ7kNvwEmRHrm&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfIWOkh-j1ByEXkf0OSA19lWi6uklkqaPlNJ9t8SL60A4Q&oe=683FB125&_nc_sid=10d13b,False,True,True
orlandomagics,383178126,OrlandoMagic,https://scontent-lga3-2.cdninstagram.com/v/t51.2885-19/358421246_246817194759264_4530464292657179942_n.jpg?stp=dst-jpg_s150x150_tt6&_nc_ht=scontent-lga3-2.cdninstagram.com&_nc_cat=100&_nc_oc=Q6cZ2QFQ0BWOUt-YATuYOqORMzK1Ib4GtZo-wQRfGmjeFqketxm-1460ncSyx7jYG87j2qkRsvUUd7viElAICnpdI-sw&_nc_ohc=y9K0L5hJPI8Q7kNvwHkjI1H&_nc_gid=PLk78jvUbxP2yVDy7iNgyw&edm=APs17CUBAAAA&ccb=7-5&oh=00_AfKsS8eZTmFD5_Ap1A2IrGNxkg9C6QMkIdNvEsB-CEnozg&oe=683FB3FE&_nc_sid=10d13b,False,True,True
