post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,post_views
tDaoAs1WBJo,https://www.youtube.com/shorts/tDaoAs1WBJo,done it again @jepitot_03  head over to my ig for more! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,40000
ZkOSEHAoJdM,https://www.youtube.com/shorts/ZkOSEHAoJdM,NO WAY 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,458000
wSILIrl7j_o,https://www.youtube.com/shorts/wSILIrl7j_o,PLEASE wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,268000
saIp1IVxz1E,https://www.youtube.com/shorts/saIp1IVxz1E,#ad This took FOREVER 😭 @bathandbodyworks,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,454000
mFVSzAhjD4E,https://www.youtube.com/shorts/mFVSzAhjD4E,always SO dramatic 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,2100000
POBTuabpHfc,https://www.youtube.com/shorts/POBTuabpHfc,wait for it 😂 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5700000
c_68xYroasE,https://www.youtube.com/shorts/c_68xYroasE,uh oh… #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,442000
uR1ULV3vKlw,https://www.youtube.com/shorts/uR1ULV3vKlw,I’m sorry little one 😔 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,510000
tcBf-FzMRdk,https://www.youtube.com/shorts/tcBf-FzMRdk,Wait for it 😳 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,4700000
W6gHmaLdF3U,https://www.youtube.com/shorts/W6gHmaLdF3U,WHAT IS HAPPENING?! #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,672000
VCeTD_yBElo,https://www.youtube.com/shorts/VCeTD_yBElo,WHAT. 😭 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,731000
yR33fQUMjTE,https://www.youtube.com/shorts/yR33fQUMjTE,#Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,1300000
9VMm4eQv9Jk,https://www.youtube.com/shorts/9VMm4eQv9Jk,The results #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,32000000
zfs55GtAV0g,https://www.youtube.com/shorts/zfs55GtAV0g,this took SO many tries 😭#Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,15000000
DxuOxC_9kag,https://www.youtube.com/shorts/DxuOxC_9kag,Nailed it. #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,858000
Vl-kXxh0y3E,https://www.youtube.com/shorts/Vl-kXxh0y3E,How’d we do? 😅 #Shorts,1749551686,UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,5000000
