video_id,title,thumbnail,description,published_time,length,view_count
GiMlQICmxbY,MESHKI TAKES AUSTIN (and I got to go) 2025,https://i.ytimg.com/vi/GiMlQICmxbY/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgTShHMA8=&rs=AOn4CLCFxbL-Z_IQSx-22MPf3R67hNx7ZQ,"Truly, TRULY - a pinch me moment. I PROMISE ya'll I am asking for a promo code. I've been asking for one for years. 

We went to Windmere Farms in San Marcus, Tx. 
I wore the Beryl Slinky Maxi...",1 month ago,17:30,708 views
3JEiuPKaFT8,"RC Podcast: Ask Alisha: How to Get Over an Ex, How to Communicate w/my Partner, How to be Confident",https://i.ytimg.com/vi/3JEiuPKaFT8/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLA4D_6ZqES6rjWBD2n0QCGc71B3EQ,"HIII! I love the questions this week, I feel like ya'll really opened a door for meta be vulnerable and  and  share what I've learned about communication in my relationship . 

Shop my posts:...",1 month ago,40:19,242 views
TzW2apbKEIg,Cafe Latte Smokey Eye,https://i.ytimg.com/vi/TzW2apbKEIg/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCN85LANEZDxvOVSCgF-P5HSpjiJA,"Make Up Details: 
https://shopmy.us/collections/1330120

if I missed anything please lmk in the comments! 

Dress From BayseBrand.com


Camera I'm using: https://rstyle.me/+rbwYE4RsWS5djGz9jcIV6w...",2 months ago,24:43,239 views
55SgXDd571I,WEEK IN MY LIFE,https://i.ytimg.com/vi/55SgXDd571I/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDsexNA7za6xmO3SYEi0vGf5Si-Dg,"Camera I'm using: https://rstyle.me/+rbwYE4RsWS5djGz9jcIV6w

Shop my posts: 
https://www.shopltk.com/explore/AlishaRevel

AMAZON SHOP:
https://www.amazon.com/shop/chocolateismyvice

DONT MISS...",3 months ago,45:22,876 views
CNLEeao8A18,My Clean Girl Make Up/Chit Chat with me,https://i.ytimg.com/vi/CNLEeao8A18/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDfpr0rGzHBDfoiSM-UojzhOR1YNg,"Hi my girls :) 
I just need a moment catch up with ya'll. Talk about how I'm feeling turning 33… and   even though I don't feel 33 - my life is soooo much better than what I imagined it would...",3 months ago,29:38,699 views
Yq3IrqumGUI,My In Depth Blow Out Routine!,https://i.ytimg.com/vi/Yq3IrqumGUI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBCtawGmwX83DYobQQkQo8-38IKMw,"Shout out to my editor for highlighting my sense of humor hahahah
OKAY! 
Nutrafol Link: https://nutrafol.pxf.io/c/3810653/2176386/17065

Bondi Boost Air Styler - https://go.shopmy.us/p-11121751...",5 months ago,12:22,724 views
pm4UvAkLoOQ,COMMENSE FALL HAUL 2024,https://i.ytimg.com/vi/pm4UvAkLoOQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCUf5Xnw7ygTwt8qUHbgbZs-dFxrg,"After viewing this video on a larger screen I have decided that I will never have the camera down that low again UHM BAD ANGLE HAHAAAA

Here's what I was wearing in order: 

Leisure Collared...",5 months ago,18:02,"1,422 views"
ypSXev7qiLE,EP 08 The Past Four Months Were Crazy,https://i.ytimg.com/vi/ypSXev7qiLE/hqdefault.jpg?sqp=-oaymwE1CKgBEF5IVfKriqkDKAgBFQAAiEIYAXABwAEG8AEB-AH-CYAC0AWKAgwIABABGGUgVihAMA8=&rs=AOn4CLBCmUkNOsueCfUtjePKcQDU1sZLhw,"Drowning is quite literally the perfect word. I cannot even begin to describe the pressure and anxiety I was feeling for the most MID side hustle I ever picked up, but I learned sooo much....",5 months ago,1:03:42,768 views
LPN7F8wnrpU,CLARINS EVENT GRWM + ChitChat,https://i.ytimg.com/vi/LPN7F8wnrpU/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLAx4vmnO8LysFiLyoCrfpzo9qEfGg,"Still this makeup looks 2016 or no??? Whatever LOLOL

My outfit details: 
 https://liketk.it/4UxPI

#makeuptutorial #eventmakeup #clarinsskincare #fullglammakeup",6 months ago,32:36,407 views
idNwO0CULeQ,LA VLOG SEPT 2024,https://i.ytimg.com/vi/idNwO0CULeQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCykR1x555dSVBPkPjlOZmUyAs7PA,I cannot get over how funny this vlog is. I love my editor so much!!,6 months ago,57:37,651 views
