post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,reaction_count
95PSpCT7THU,https://www.youtube.com/watch?v=95PSpCT7THU,"3 Days In LA- Meeting my FAVS Desi + Katy, OGX Event, Meeting My Team/Skims/ More!",8 days ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,654
GiMlQICmxbY,https://www.youtube.com/watch?v=GiMlQICmxbY,MESHKI TAKES AUSTIN (and I got to go) 2025,1 month ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,740
3JEiuPKaFT8,https://www.youtube.com/watch?v=3JEiuPKaFT8,"RC Podcast: Ask Alisha: How to Get Over an Ex, How to Communicate w/my Partner, How to be Confident",2 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,254
TzW2apbKEIg,https://www.youtube.com/watch?v=TzW2apbKEIg,Cafe Latte Smokey Eye,3 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,254
55SgXDd571I,https://www.youtube.com/watch?v=55SgXDd571I,WEEK IN MY LIFE,4 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,888
CNLEeao8A18,https://www.youtube.com/watch?v=CNLEeao8A18,My Clean Girl Make Up/Chit Chat with me,4 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,711
Yq3IrqumGUI,https://www.youtube.com/watch?v=Yq3IrqumGUI,My In Depth Blow Out Routine!,5 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,731
pm4UvAkLoOQ,https://www.youtube.com/watch?v=pm4UvAkLoOQ,COMMENSE FALL HAUL 2024,6 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,1430
ypSXev7qiLE,https://www.youtube.com/watch?v=ypSXev7qiLE,EP 08 The Past Four Months Were Crazy,6 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,776
LPN7F8wnrpU,https://www.youtube.com/watch?v=LPN7F8wnrpU,CLARINS EVENT GRWM + ChitChat,6 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,417
idNwO0CULeQ,https://www.youtube.com/watch?v=idNwO0CULeQ,LA VLOG SEPT 2024,7 months ago,UCnQghMm3Z164JFhScQYFTBw,Alisha Revel,https://www.youtube.com/channel/UCnQghMm3Z164JFhScQYFTBw,657
