post_id,post_url,post_text,post_views,post_time,profile_id,profile_name,profile_url
BZ_9PxHqmsc,https://www.youtube.com/watch?v=BZ_9PxHqmsc,Suzuki Swift Crash Test & Safety test 2025,49856,1721717913,UCtD-TNB3G8uCYBjKVcxKjtA,KondorCars,https://www.youtube.com/channel/UCtD-TNB3G8uCYBjKVcxKjtA
trX6c5M9r3w,https://www.youtube.com/watch?v=trX6c5M9r3w,Swift build quality #swift #marutisuzuki #buildquality,4071366,1718693913,UC9w92fHaW7SLh04XzLWJ-6g,Autocar Bharat,https://www.youtube.com/channel/UC9w92fHaW7SLh04XzLWJ-6g
EXODmpW8mXg,https://www.youtube.com/watch?v=EXODmpW8mXg,Suzuki Swift Hybrid 2024 review,56769,1718693913,UC4ybPXbbLnfkxe7y7XKWuSQ,The Right Car?,https://www.youtube.com/channel/UC4ybPXbbLnfkxe7y7XKWuSQ
81tlpkK9tKc,https://www.youtube.com/watch?v=81tlpkK9tKc,Maruti new gen swift stability test #maruti #swift,119473,1745045913,UCrWhmuTrojRYgMLNTEMzOpw,iDrift,https://www.youtube.com/channel/UCrWhmuTrojRYgMLNTEMzOpw
KJDtGXAF4yM,https://www.youtube.com/watch?v=KJDtGXAF4yM,New Swift 2024,2239100,1718693913,UCxQQblsU34uzb0qS54QGSzA,Cars 2 Explore,https://www.youtube.com/channel/UCxQQblsU34uzb0qS54QGSzA
mmLofxtn3fc,https://www.youtube.com/watch?v=mmLofxtn3fc,FIAT 1.3 DDIS 🖤 + SWIFT 💥 #revlimits #povtestdrive #swift #1.3DDIS #swiftdiesel,294921,1737269913,UCZLBtPp0XzZZNDECYpi5n_A,RevLimits,https://www.youtube.com/channel/UCZLBtPp0XzZZNDECYpi5n_A
bNXafq9u8nY,https://www.youtube.com/watch?v=bNXafq9u8nY,Maruti Dzire ZXI Plus Vs Maruti Swift ZXI Plus #technnu #marutidzire #swift,152933,1737269913,UClK1Fl3iYQON8osMUcdQ1zg,Technnu,https://www.youtube.com/channel/UClK1Fl3iYQON8osMUcdQ1zg
_pcocAE9Tng,https://www.youtube.com/watch?v=_pcocAE9Tng,Baleno vs Swift #marutisuzuki #swift #baleno #maruti #car #marutisuzukibaleno #suzuki #suzukiswift,685170,1729493913,UCj5ZfqIfKfl33N4lC_0UIUg,Auto Tech Global,https://www.youtube.com/channel/UCj5ZfqIfKfl33N4lC_0UIUg
k5XVP3Ei2s4,https://www.youtube.com/watch?v=k5XVP3Ei2s4,Should you buy a USED Suzuki Swift Sport? - Is simple always best?,114185,1745045913,UCVnLfmYPxEGHO7BRXSxSJ_w,ReDriven,https://www.youtube.com/channel/UCVnLfmYPxEGHO7BRXSxSJ_w
wKCO1Bm7Ylc,https://www.youtube.com/watch?v=wKCO1Bm7Ylc,Ignis vs Swift #marutisuzuki #india #suzuki #ignis #swift #suzukiswift #suzuki #shortsfeed #shorts,383625,1729493913,UCj5ZfqIfKfl33N4lC_0UIUg,Auto Tech Global,https://www.youtube.com/channel/UCj5ZfqIfKfl33N4lC_0UIUg
RCfpPgl-6Bw,https://www.youtube.com/watch?v=RCfpPgl-6Bw,Hyundai grand i10 nios vs Maruti swift steering return #hyundai #swift,3251495,1745045913,UCrWhmuTrojRYgMLNTEMzOpw,iDrift,https://www.youtube.com/channel/UCrWhmuTrojRYgMLNTEMzOpw
Z7Qm-T546qo,https://www.youtube.com/watch?v=Z7Qm-T546qo,MARUTI SUZUKI CARS LINEUP &PRICE LIST 2025 #marutisuzuki #swift #alto #ignis #brezza #baleno #ertiga,468703,1747637913,UCkPLUsDphOB1MkUE2QpZPwg,throttlerushh,https://www.youtube.com/channel/UCkPLUsDphOB1MkUE2QpZPwg
I8mz5tOOrDc,https://www.youtube.com/watch?v=I8mz5tOOrDc,Tata Nexon vs Swift Drag Race 🔥 #shorts #youtubeshorts #nexon #swift #cars #viral,107621,1687157913,UCkDcciXzzF0DVDGO08jv1dQ,Sahaj Tyagi Vlogs,https://www.youtube.com/channel/UCkDcciXzzF0DVDGO08jv1dQ
JvT7NdXGHCI,https://www.youtube.com/watch?v=JvT7NdXGHCI,rear diffuser installed in Swift #swift #caraccessories,193170,1687157913,UCs61y7HWc2Fxo3qZAHX1hFA,Middle Class Dude,https://www.youtube.com/channel/UCs61y7HWc2Fxo3qZAHX1hFA
Hc6o64T_4L0,https://www.youtube.com/watch?v=Hc6o64T_4L0,WagonR vs Swift #marutisuzuki #swift #wagonr #maruti #suzuki #suzukiswift #shortsfeed #shorts #car,847362,1732085913,UCj5ZfqIfKfl33N4lC_0UIUg,Auto Tech Global,https://www.youtube.com/channel/UCj5ZfqIfKfl33N4lC_0UIUg
kX7F5TnNZl0,https://www.youtube.com/watch?v=kX7F5TnNZl0,Swift 2008 Modification Part 2 #car #swift #indore #swiftcarclub #suzuki #swiftlover #carshow #cars,5954360,1718693913,UCUoI7iHbTGNQqo8sC9wgzHQ,THE DETAILING BOYS,https://www.youtube.com/channel/UCUoI7iHbTGNQqo8sC9wgzHQ
rGKpOee0LYA,https://www.youtube.com/watch?v=rGKpOee0LYA,Modified Swift 🔥🔥🔥 #black #swift,1382048,1724309913,UC6IuuzPP3vmWinbqV8o_fBQ,RO-HIT STUDIO,https://www.youtube.com/channel/UC6IuuzPP3vmWinbqV8o_fBQ
or59qcwP6JU,https://www.youtube.com/watch?v=or59qcwP6JU,Brezza vs Swift vs IGNIS #shorts #swift #brezza #ignis #marutisuzuki #maruti #suzuki,34982,1742453913,UC6QMa4CQUAbGpE6rOtxjqVQ,Viren Kaliraman,https://www.youtube.com/channel/UC6QMa4CQUAbGpE6rOtxjqVQ
MsGwNMXOW_8,https://www.youtube.com/watch?v=MsGwNMXOW_8,New swift taking delivery 🖤🚗 #swift #swiftlover #swift_car }#swifties #car,3926479,1687157913,UCqWOvmusq-B1iENSOQrV8Qg,Isac Max,https://www.youtube.com/channel/UCqWOvmusq-B1iENSOQrV8Qg
6dSS84gZ8dQ,https://www.youtube.com/watch?v=6dSS84gZ8dQ,SWIFT SPORTS KIT UPGRADE #swift #sports #modifiedcars,78845,1718693913,UC9pTGVy2dwefDTqQ-WNnVKA,Cooks Adventure By MoTo,https://www.youtube.com/channel/UC9pTGVy2dwefDTqQ-WNnVKA
49x242AfXPI,https://www.youtube.com/watch?v=49x242AfXPI,Ignis vs Defender vs Thar vs Fortuner #shorts #swift #brezza #ignis #marutisuzuki #maruti #suzuki,57407,1742453913,UC6QMa4CQUAbGpE6rOtxjqVQ,Viren Kaliraman,https://www.youtube.com/channel/UC6QMa4CQUAbGpE6rOtxjqVQ
yBWT3aLaDdo,https://www.youtube.com/watch?v=yBWT3aLaDdo,Maruti Suzuki Swift VDI Model of 2014 || Mo : 7777951707 || #car #verna #swift,198672,1718693913,UCWfsU3CE1TQEaFSLrOitd3g,morlivara_auto_car,https://www.youtube.com/channel/UCWfsU3CE1TQEaFSLrOitd3g
7-ZT1FrU_k0,https://www.youtube.com/watch?v=7-ZT1FrU_k0,Maruti suzuki swift over the years #swift #car #shorts #shortvideo #marutisuzuki,6500,1745045913,UCOKPUcyUrkAlkogWCFLZpAg,Centy Model Toys,https://www.youtube.com/channel/UCOKPUcyUrkAlkogWCFLZpAg
-5D6TKBXryI,https://www.youtube.com/watch?v=-5D6TKBXryI,"New Swift Fully Modified, Maruti Suzuki Swift Modification #marutisuzuki #swift #shorts #ytshorts",890687,1687157913,UChH5Px-2iEE6VhQbfront-g,Aryan Roy Vlogs,https://www.youtube.com/channel/UChH5Px-2iEE6VhQbfront-g
