post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,reaction_count
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,1749537242,UCROYT8xXAjDM25hjSNMny2Q,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,401,259"
7TtV-f_m6Qg,https://www.youtube.com/watch?v=7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",1654929242,UCDDx4lwzZk5uZBwTunBI2CA,Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA,"4,903,405"
PIh2xe4jnpk,https://www.youtube.com/watch?v=PIh2xe4jnpk,MAGIC! - Rude (Official Video),1402641242,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"2,573,391,696"
Sgvl4iRY8PQ,https://www.youtube.com/watch?v=Sgvl4iRY8PQ,HOW DID THEY DO IT?! Unexplainable Magic That Stumped Everyone! | America's Got Talent,1746945242,UCT2X19JJaJGUN7mrYuImANQ,America's Got Talent,https://www.youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,"423,197"
6MlMJaFNWrc,https://www.youtube.com/watch?v=6MlMJaFNWrc,Kuja Black Mage Wizard Spellslinger | $60 Budget Magic,1749483242,UCZAZTSd0xnor7hJFmINIBIw,MTGGoldfish,https://www.youtube.com/channel/UCZAZTSd0xnor7hJFmINIBIw,"32,687"
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,1726209242,UCeBWh-0p7vgBeD6HOHBpfwQ,Top 10 Talent,https://www.youtube.com/channel/UCeBWh-0p7vgBeD6HOHBpfwQ,"342,615"
DnkHf069fvA,https://www.youtube.com/watch?v=DnkHf069fvA,Olivia Newton-John - Magic,1276497242,UC4KfZeX3qk--zTKXDP2X3JQ,Ignazio Deddu,https://www.youtube.com/channel/UC4KfZeX3qk--zTKXDP2X3JQ,"14,168,311"
sDmjEN-6ekE,https://www.youtube.com/watch?v=sDmjEN-6ekE,Magic,1749537242,UCcGD-1fuzoja3HRG3Re2yBQ,Olivia Newton-John,https://www.youtube.com/channel/UCcGD-1fuzoja3HRG3Re2yBQ,"4,833,088"
Cq-NShfefks,https://www.youtube.com/watch?v=Cq-NShfefks,B.o.B - Magic (feat. Rivers Cuomo) [Official Video],1308033242,UCpuvu8mrEO4jxjT6sRwE8tg,B.o.B,https://www.youtube.com/channel/UCpuvu8mrEO4jxjT6sRwE8tg,"61,592,076"
x5YP_oLcgpg,https://www.youtube.com/watch?v=x5YP_oLcgpg,MAGIC! - Let Your Hair Down (Official Video),1434177242,UCZ2KbFug6U6DO02xIIu2JAA,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"59,984,857"
vY7mHqFi_Kk,https://www.youtube.com/watch?v=vY7mHqFi_Kk,Future - Magic ft. T.I.,1339569242,UCSDvKdIQOwTfcyOimSi9oYA,Future,https://www.youtube.com/channel/UCSDvKdIQOwTfcyOimSi9oYA,"33,443,594"
1nbEyaIDYVY,https://www.youtube.com/watch?v=1nbEyaIDYVY,MIND BLOWING Magic on America's Got Talent!,1739169242,UCe_Fx4EZAgKjDz0aQ_Y7hSA,Got Talent Global,https://www.youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA,"728,880"
NoEMIVx4J78,https://www.youtube.com/watch?v=NoEMIVx4J78,MAGIC! - Rude (Lyrics),1654929242,UCNqFDjYTexJDET3rPDrmJKg,7clouds,https://www.youtube.com/channel/UCNqFDjYTexJDET3rPDrmJKg,"71,156,184"
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,1591857242,UCE-I7YO3WHKGpqMTWWHDWSg,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,645,020"
vQQVJvY6hb0,https://www.youtube.com/watch?v=vQQVJvY6hb0,Wow! These Magic Tricks Will Blow Your Mind - America's Got Talent: The Champions,1560321242,UCT2X19JJaJGUN7mrYuImANQ,America's Got Talent,https://www.youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ,"3,728,682"
ASGgn8bNQuA,https://www.youtube.com/watch?v=ASGgn8bNQuA,Pilot - It's Magic • TopPop,1465713242,UCxjzlr0hdKWfIwK2lY0SvEg,TopPop,https://www.youtube.com/channel/UCxjzlr0hdKWfIwK2lY0SvEg,"15,898,880"
Uzk7v_8LpYQ,https://www.youtube.com/watch?v=Uzk7v_8LpYQ,Magic Auditions That You Have To See To Believe!,1718001242,UCXXnwJW6WTK2b3i3p6GLaPw,Magician's Got Talent,https://www.youtube.com/channel/UCXXnwJW6WTK2b3i3p6GLaPw,"2,545,521"
DbP3f_a1s0s,https://www.youtube.com/watch?v=DbP3f_a1s0s,Magic,1749537242,UCuHyAQrWCAT4jWnymKtgWrA,Charlie Wilson,https://www.youtube.com/channel/UCuHyAQrWCAT4jWnymKtgWrA,"18,778,120"
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",1748327642,UClQ3NafOy_42dJ0toK3QUKw,Stay Wild,https://www.youtube.com/channel/UClQ3NafOy_42dJ0toK3QUKw,"12,796,935"
fdlhVKy1MtQ,https://www.youtube.com/watch?v=fdlhVKy1MtQ,"NEW 2026 Suzuki Swift SHOCKS EVERYONE: This Is Most Expensive, Luxuriou's & Full High Performance!",1748673362,UCUwuRSWabhgrphWXgkncVHA,AutoCarTv,https://www.youtube.com/channel/UCUwuRSWabhgrphWXgkncVHA,"59,137"
peh6GuR6vvM,https://www.youtube.com/watch?v=peh6GuR6vvM,"Suzuki Swift review: The perfect small car, almost…",1741761362,UCUhFaUpnq31m6TNX2VKVSVA,carwow,https://www.youtube.com/channel/UCUhFaUpnq31m6TNX2VKVSVA,"876,408"
-CmadmM5cOk,https://www.youtube.com/watch?v=-CmadmM5cOk,Taylor Swift - Style,1434177362,UCqECaJ8Gagnn7YCbPEzWH6g,Taylor Swift,https://www.youtube.com/channel/UCqECaJ8Gagnn7YCbPEzWH6g,"903,464,816"
U5_TGI4moWU,https://www.youtube.com/watch?v=U5_TGI4moWU,WordPress Tutorial | Create a Full Website in Minutes Using Bluehost (Swift Setup),1749450962,UCsHTScuvl2Po0TETeqbY8rA,Site Starters,https://www.youtube.com/channel/UCsHTScuvl2Po0TETeqbY8rA,"5,831"
DxLsTIG73I4,https://www.youtube.com/watch?v=DxLsTIG73I4,Introducing the Epic New Swift!,1718001362,UCKbGPjnf6qBeZqlRIB65mAA,MSArenaOfficial,https://www.youtube.com/channel/UCKbGPjnf6qBeZqlRIB65mAA,"9,607,542"
vu0VxwpBvLk,https://www.youtube.com/watch?v=vu0VxwpBvLk,Suzuki Swift (2025) - Very Nice Car!,1739169362,UCFfFgeKVVhjXtQSXRj3e-Iw,MEDCARS,https://www.youtube.com/channel/UCFfFgeKVVhjXtQSXRj3e-Iw,"331,238"
bFmam32wN-A,https://www.youtube.com/watch?v=bFmam32wN-A,Old vs New! 🚗✌️ The New Swift ep04,1560321362,UCuFWG5idQ00n4mrYNFZYhOQ,Oliver Amon,https://www.youtube.com/channel/UCuFWG5idQ00n4mrYNFZYhOQ,"11,127,901"
X9L0bUSJihc,https://www.youtube.com/watch?v=X9L0bUSJihc,New 2026 Suzuki Swift Is Finally Back With a Bold New Look! | Shocking Design & Features REVIEW 🔥,1749364562,UCwJHPzdG6JZHfafku_qfDfQ,CAR TREND,https://www.youtube.com/channel/UCwJHPzdG6JZHfafku_qfDfQ,770
