video_id,title,thumbnail,published_time,length,view_count,channel,channel_url
PIh2xe4jnpk,MAGIC! - Rude (Official Video),https://i.ytimg.com/vi/PIh2xe4jnpk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmD9Z0dQYJhI2G_K5Mz2Eas8vOMg,11 years ago,3:46,"2,568,149,170 views",MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA
,,,,,,,https://www.youtube.com/channel/
tt4cR9szMS8,America - You Can Do Magic,https://i.ytimg.com/vi/tt4cR9szMS8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDIZsPdyC-u4euFlFin4mYf8Kf_kA,5 years ago,3:48,"59,831,441 views",America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg
ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,https://i.ytimg.com/vi/ao-FXd5iTI4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD6SkUUANyZjtllHIXY_QzrG1lfHw,8 months ago,2:49:19,"323,674 views",Top 10 Talent,https://www.youtube.com/channel/UCeBWh-0p7vgBeD6HOHBpfwQ
Sgvl4iRY8PQ,HOW DID THEY DO IT?! Unexplainable Magic That Stumped Everyone! | America's Got Talent,https://i.ytimg.com/vi/Sgvl4iRY8PQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB3Y1Oymj0ZjTq8VeGEFTHkmwsBFg,1 month ago,1:31:17,"320,425 views",America's Got Talent,https://www.youtube.com/channel/UCT2X19JJaJGUN7mrYuImANQ
,,,,,,,https://www.youtube.com/channel/
DnkHf069fvA,Olivia Newton-John - Magic,https://i.ytimg.com/vi/DnkHf069fvA/hqdefault.jpg?sqp=-oaymwE2COADEI4CSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gSAAuADigIMCAAQARhlIFMoWTAP&rs=AOn4CLDujksx40GVsVzVhEDfP_83FY5Sew,15 years ago,4:23,"14,136,590 views",Ignazio Deddu,https://www.youtube.com/channel/UC4KfZeX3qk--zTKXDP2X3JQ
67C4xkulO6k,10 Kids With MAGIC POWERS on Britain's & America's Got Talent!,https://i.ytimg.com/vi/67C4xkulO6k/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5NGoqqHNvhn1RnE3O2FHCIGNcVw,2 months ago,52:30,"2,635,871 views",Got Talent Global,https://www.youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA
HdobynnfKQE,MAGIC! - No Way No (Official Video),https://i.ytimg.com/vi/HdobynnfKQE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA42T7itQbMk8Gjf5OIp0k3_K4k1Q,10 years ago,4:05,"127,996,489 views",MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA
Qtb11P1FWnc,Coldplay - Magic (Official Video),https://i.ytimg.com/vi/Qtb11P1FWnc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYgbiw5-05SNhoEHuG0qmXEJwQbw,11 years ago,5:16,"243,847,677 views",Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw
9ytiyD_QA2s,magic,https://i.ytimg.com/vi/9ytiyD_QA2s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA3I4AvNw1hNUnDVupDdZ4_iOH9mQ,,5:57,"4,980,138 views",Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q
,,,,,,,https://www.youtube.com/channel/
7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",https://i.ytimg.com/vi/7TtV-f_m6Qg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAcRbUk5ELtBXR_6AMpUuE9yIHD1w,3 years ago,3:47,"4,861,966 views",Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA
1nbEyaIDYVY,MIND BLOWING Magic on America's Got Talent!,https://i.ytimg.com/vi/1nbEyaIDYVY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB6krULp-pImb4WWfjV-bdLY6-_sw,4 months ago,38:51,"671,941 views",Got Talent Global,https://www.youtube.com/channel/UCe_Fx4EZAgKjDz0aQ_Y7hSA
,,,,,,,https://www.youtube.com/channel/
wDiylMaW9g4,"""The Magic Touch ( Zodiac Alex Wins 14 Points Poker Gods Lose 13 Points Defeat-The-Odds Poker Game"".",https://i.ytimg.com/vi/wDiylMaW9g4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-N8Vf3nfIk4ZA5Ngx_E91s8IctQ,1 day ago,41:31,20 views,ZodiacAlex,https://www.youtube.com/channel/UCZNryqDSoih4zVl-hL1p20g
02k8vRi5f_I,Revealing 5 Secret Magic Tricks With Science,https://i.ytimg.com/vi/02k8vRi5f_I/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCUuLQnVGZIQN3vfP4Rz3SdIJ6OBw,3 weeks ago,9:08,"4,771,679 views",CrunchLabs,https://www.youtube.com/channel/UC513PdAP2-jWkJunTh5kXRw
