post_id,post_url,post_text,post_time,profile_id,profile_name,profile_url,reaction_count,comment_count
7TtV-f_m6Qg,https://www.youtube.com/watch?v=7TtV-f_m6Qg,"VINCE STAPLES - ""MAGIC"" FEAT. MUSTARD (Visualizer)",3 years ago,,Vince Staples,https://www.youtube.com/channel/UCDDx4lwzZk5uZBwTunBI2CA,"4,889,530 views",
6kv-Cz07Fek,https://www.youtube.com/watch?v=6kv-Cz07Fek,30 SECOND MAGIC TUTORIAL!!,2 years ago,,SeanDoesMagic,https://www.youtube.com/@SeanDoesMagic,"1,243,223 views",
Sgvl4iRY8PQ,https://www.youtube.com/watch?v=Sgvl4iRY8PQ,HOW DID THEY DO IT?! Unexplainable Magic That Stumped Everyone! | America's Got Talent,1 month ago,,America's Got Talent,https://www.youtube.com/@AGT,"395,749 views",
ao-FXd5iTI4,https://www.youtube.com/watch?v=ao-FXd5iTI4,WOW MAGIC - 3 Hours Of AMAZING!,9 months ago,,Top 10 Talent,https://www.youtube.com/@top10talent,"337,927 views",
67C4xkulO6k,https://www.youtube.com/watch?v=67C4xkulO6k,10 Kids With MAGIC POWERS on Britain's & America's Got Talent!,2 months ago,,Got Talent Global,https://www.youtube.com/@gottalentglobal,"3,024,028 views",
PIh2xe4jnpk,https://www.youtube.com/watch?v=PIh2xe4jnpk,MAGIC! - Rude (Official Video),11 years ago,,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"2,571,805,526 views",
Cq-NShfefks,https://www.youtube.com/watch?v=Cq-NShfefks,B.o.B - Magic (feat. Rivers Cuomo) [Official Video],14 years ago,,B.o.B,https://www.youtube.com/channel/UCpuvu8mrEO4jxjT6sRwE8tg,"61,575,043 views",
eGewFYQhJEQ,https://www.youtube.com/watch?v=eGewFYQhJEQ,Level 1 to 100 Magic Tricks Anyone Can Do,1 year ago,,Hafu Go,https://www.youtube.com/@hafu,"13,368,967 views",
tt4cR9szMS8,https://www.youtube.com/watch?v=tt4cR9szMS8,America - You Can Do Magic,5 years ago,,America,https://www.youtube.com/channel/UCE-I7YO3WHKGpqMTWWHDWSg,"60,395,576 views",
rQY1Q3vZ0l8,https://www.youtube.com/watch?v=rQY1Q3vZ0l8,"Orlando Magic unveil new rebrand, pinstripe jerseys",15 hours ago,,FOX 35 Orlando,https://www.youtube.com/@fox35,419 views,
Qtb11P1FWnc,https://www.youtube.com/watch?v=Qtb11P1FWnc,Coldplay - Magic (Official Video),11 years ago,,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"244,164,348 views",
lFAyVVbc-OI,https://www.youtube.com/watch?v=lFAyVVbc-OI,"Best Magic Trick Wins $1,000!",9 days ago,,Stay Wild,https://www.youtube.com/@StayWild-,"11,407,168 views",
DnkHf069fvA,https://www.youtube.com/watch?v=DnkHf069fvA,Olivia Newton-John - Magic,15 years ago,,Ignazio Deddu,https://www.youtube.com/@IchnosX3,"14,158,635 views",
1nbEyaIDYVY,https://www.youtube.com/watch?v=1nbEyaIDYVY,MIND BLOWING Magic on America's Got Talent!,4 months ago,,Got Talent Global,https://www.youtube.com/@gottalentglobal,"710,166 views",
A4mFpWHsWbw,https://www.youtube.com/watch?v=A4mFpWHsWbw,Testing $1 Magic Tricks,1 year ago,,Kyle Krueger,https://www.youtube.com/@KyleKrueger,"76,329,538 views",
9ytiyD_QA2s,https://www.youtube.com/watch?v=9ytiyD_QA2s,magic,,,Medasin,https://www.youtube.com/channel/UCROYT8xXAjDM25hjSNMny2Q,"5,282,198 views",
6hCYlR2S7Po,https://www.youtube.com/watch?v=6hCYlR2S7Po,This guy has insane magic tricks 🥶😳 #shorts #magic #trending #viralvideo,2 months ago,,MediaOcity,https://www.youtube.com/@MediaOcityYT,"1,654,605 views",
HdobynnfKQE,https://www.youtube.com/watch?v=HdobynnfKQE,MAGIC! - No Way No (Official Video),10 years ago,,MAGIC!,https://www.youtube.com/channel/UCZ2KbFug6U6DO02xIIu2JAA,"128,218,427 views",
1PvBc2TOpE4,https://www.youtube.com/watch?v=1PvBc2TOpE4,Coldplay - Magic (Official Audio),11 years ago,,Coldplay,https://www.youtube.com/channel/UCDPM_n1atn2ijUwHd0NNRQw,"63,093,018 views",
Uzk7v_8LpYQ,https://www.youtube.com/watch?v=Uzk7v_8LpYQ,Magic Auditions That You Have To See To Believe!,1 year ago,,Magician's Got Talent,https://www.youtube.com/@MagiciansGotTalent,"2,522,345 views",
